id,cat,subcat,maintenance,dwh_create_date
AC_BR,Accessories,Bike Racks,Yes,2026-06-02 08:58:24.233864
AC_BS,Accessories,Bike Stands,No,2026-06-02 08:58:24.233864
AC_BC,Accessories,Bottles and Cages,No,2026-06-02 08:58:24.233864
AC_CL,Accessories,Cleaners,Yes,2026-06-02 08:58:24.233864
AC_FE,Accessories,Fenders,No,2026-06-02 08:58:24.233864
AC_HE,Accessories,Helmets,Yes,2026-06-02 08:58:24.233864
AC_HP,Accessories,Hydration Packs,No,2026-06-02 08:58:24.233864
AC_LI,Accessories,Lights,Yes,2026-06-02 08:58:24.233864
AC_LO,Accessories,Locks,Yes,2026-06-02 08:58:24.233864
AC_PA,Accessories,Panniers,No,2026-06-02 08:58:24.233864
AC_PU,Accessories,Pumps,Yes,2026-06-02 08:58:24.233864
AC_TT,Accessories,Tires and Tubes,Yes,2026-06-02 08:58:24.233864
BI_MB,Bikes,Mountain Bikes,Yes,2026-06-02 08:58:24.233864
BI_RB,Bikes,Road Bikes,Yes,2026-06-02 08:58:24.233864
BI_TB,Bikes,Touring Bikes,Yes,2026-06-02 08:58:24.233864
CL_BS,Clothing,Bib-Shorts,No,2026-06-02 08:58:24.233864
CL_CA,Clothing,Caps,No,2026-06-02 08:58:24.233864
CL_GL,Clothing,Gloves,No,2026-06-02 08:58:24.233864
CL_JE,Clothing,Jerseys,No,2026-06-02 08:58:24.233864
CL_SH,Clothing,Shorts,No,2026-06-02 08:58:24.233864
CL_SO,Clothing,Socks,No,2026-06-02 08:58:24.233864
CL_TI,Clothing,Tights,No,2026-06-02 08:58:24.233864
CL_VE,Clothing,Vests,No,2026-06-02 08:58:24.233864
CO_BB,Components,Bottom Brackets,Yes,2026-06-02 08:58:24.233864
CO_BR,Components,Brakes,Yes,2026-06-02 08:58:24.233864
CO_CH,Components,Chains,Yes,2026-06-02 08:58:24.233864
CO_CS,Components,Cranksets,Yes,2026-06-02 08:58:24.233864
CO_DE,Components,Derailleurs,Yes,2026-06-02 08:58:24.233864
CO_FO,Components,Forks,Yes,2026-06-02 08:58:24.233864
CO_HB,Components,Handlebars,No,2026-06-02 08:58:24.233864
CO_HS,Components,Headsets,No,2026-06-02 08:58:24.233864
CO_MF,Components,Mountain Frames,Yes,2026-06-02 08:58:24.233864
CO_PD,Components,Pedals,No,2026-06-02 08:58:24.233864
CO_RF,Components,Road Frames,Yes,2026-06-02 08:58:24.233864
CO_SA,Components,Saddles,No,2026-06-02 08:58:24.233864
CO_TF,Components,Touring Frames,Yes,2026-06-02 08:58:24.233864
CO_WH,Components,Wheels,Yes,2026-06-02 08:58:24.233864
